epoch,acc,loss,val_acc,val_loss
0,0.478353072983,1.94716245188,0.5698,1.66466253014
1,0.582853025937,1.63072463942,0.6061,1.57367998886
2,0.629382804995,1.4912709263,0.6646,1.38650417881
3,0.660642811399,1.38837935686,0.6756,1.33463056335
4,0.681816362472,1.32146599386,0.7053,1.24239326077
5,0.700448286904,1.26075216486,0.6833,1.35169148273
6,0.718739993596,1.20466396475,0.6953,1.27900860596
7,0.732068523855,1.16215170678,0.7113,1.22351973133
8,0.741254402818,1.12349330491,0.6992,1.24860379353
9,0.752341498559,1.08907385079,0.7166,1.22768686008
10,0.760126480948,1.06090817782,0.7254,1.19292833176
11,0.769892731348,1.03120125186,0.7578,1.07808491173
12,0.779158661543,0.99924399713,0.7589,1.07577257481
13,0.782740954211,0.983957045894,0.7543,1.09509705067
14,0.790826128722,0.956140037725,0.7558,1.10219410973
15,0.798270893372,0.933936975684,0.7557,1.10186861572
16,0.80239353186,0.914857166263,0.7682,1.06411456261
17,0.809998398975,0.891990892978,0.7804,1.00783028927
18,0.816122318284,0.874989838773,0.7433,1.15782370863
19,0.821525776497,0.856805543353,0.7792,1.03263343267
20,0.824727825809,0.844775779599,0.7658,1.07945900135
21,0.828270092859,0.832094840522,0.7693,1.05917656183
22,0.833133205251,0.813081882949,0.7848,0.996884977055
23,0.835134486071,0.800323100568,0.7825,1.01991401501
24,0.841778738393,0.787332366626,0.7674,1.07691188717
25,0.843599903939,0.784339356739,0.7878,1.01228835325
26,0.850724463657,0.764105869874,0.785,0.989522052765
27,0.851845180916,0.753387562709,0.7961,0.971292419147
28,0.856768331732,0.739941073903,0.7869,1.01464133072
29,0.858229266731,0.735973518283,0.7937,0.995486572838
30,0.861091098303,0.722908536068,0.7598,1.14415838737
31,0.864493275696,0.711825990463,0.7798,1.03927297487
32,0.866954851105,0.703301914487,0.7999,0.990552798939
33,0.871217579251,0.695856050253,0.7943,0.99251207571
34,0.89709414025,0.61784562835,0.8154,0.936166541767
35,0.906820365034,0.592835260877,0.8165,0.940277457523
36,0.908561479347,0.582157764618,0.8192,0.937207064342
37,0.914285142491,0.565816013335,0.8213,0.936507640266
38,0.913824847903,0.562764304497,0.8211,0.949561438942
39,0.918527857829,0.547190549261,0.8147,0.960923381615
40,0.92150976625,0.539200186185,0.8189,0.958540105343
41,0.931636247198,0.514255704814,0.8223,0.940150733852
42,0.932256644252,0.509147187589,0.8236,0.947543221283
43,0.932496797951,0.506837354575,0.8279,0.940545791626
44,0.934918347743,0.500177985806,0.8235,0.94998500948
45,0.933937720141,0.499347894935,0.8217,0.954393235302
46,0.936759526097,0.495025127754,0.8249,0.947458656979
47,0.937900256164,0.491662386629,0.8247,0.948289873505
48,0.938040345821,0.489529044037,0.825,0.947925212765
49,0.939781460134,0.489242754931,0.8255,0.946319858265
50,0.939241114313,0.490610900308,0.8246,0.943790065002
51,0.941542587256,0.482225411888,0.8253,0.945471568584
52,0.940642010887,0.482223659401,0.8252,0.947634666061
53,0.94072206212,0.482405657803,0.8259,0.946009458447
54,0.940121677874,0.483660406651,0.826,0.947609924507
55,0.941322446366,0.480148270731,0.8258,0.949521736717
56,0.94294348383,0.476830563521,0.8263,0.947548837662
57,0.940521934038,0.482885804747,0.8264,0.948848025131
58,0.941282420749,0.483418079597,0.8256,0.948247787094
59,0.941762728146,0.479221706909,0.8257,0.948231500053
60,0.941582612872,0.479765703367,0.8247,0.948295368385
61,0.94172270253,0.480159712819,0.8258,0.947768417358
62,0.942743355748,0.481717494801,0.8263,0.947719218826
63,0.942543227666,0.475038193088,0.8261,0.94705709343
64,0.941242395133,0.480369869654,0.8267,0.947925093174
65,0.942583253282,0.480806621133,0.8258,0.950096198082
66,0.943103586295,0.477488644548,0.8263,0.94861742754
67,0.940421869997,0.48266491397,0.825,0.948815544415
68,0.941402497598,0.481394056838,0.8256,0.948727147198
69,0.942543227666,0.47606480677,0.826,0.95190546875
70,0.941682676913,0.481115137227,0.8251,0.949440231609
71,0.942503202049,0.476894871951,0.8249,0.951818506813
72,0.942863432597,0.476438972838,0.8255,0.950339071178
73,0.94282340698,0.475488941085,0.8252,0.950192088032
74,0.942102945885,0.476992081306,0.8248,0.950979221821
75,0.942983509446,0.478102410733,0.8262,0.949832426548
76,0.94404418828,0.471594645061,0.8251,0.95248849268
77,0.943043547871,0.477205920727,0.825,0.948101651764
78,0.941622638489,0.478964171528,0.8255,0.954984559822
79,0.94438440602,0.476496959378,0.826,0.950787116146
80,0.94282340698,0.477432551996,0.8254,0.950306355476
81,0.941202369516,0.479320711512,0.8248,0.951146241283
82,0.941742715338,0.478183062087,0.8253,0.952985237503
83,0.942963496638,0.477238315708,0.8245,0.951827114773
84,0.944964777458,0.471919880315,0.8248,0.953626479816
85,0.94316362472,0.476367077316,0.825,0.952422302818
86,0.942423150817,0.474319402373,0.8247,0.951080784416
87,0.943263688761,0.473136680958,0.8249,0.953202665234
88,0.9411623439,0.479353803646,0.8243,0.950468251514
89,0.942283061159,0.474678075546,0.8255,0.951789611053
90,0.94338376561,0.474076109249,0.8267,0.952056333733
91,0.943784021774,0.474585237829,0.8259,0.953669116306
92,0.943043547871,0.473123155284,0.8261,0.95219299221
93,0.941662664105,0.478155721429,0.8252,0.950670169926
94,0.944124239513,0.47087138834,0.8261,0.951177365112
95,0.942263048351,0.475936951333,0.8258,0.9516485466
96,0.9436039065,0.473524850872,0.8257,0.952994884109
97,0.944864713417,0.471125314051,0.8256,0.954544374847
98,0.943924111431,0.473330125647,0.8267,0.954667032051
99,0.943103586295,0.47509794099,0.8261,0.954697193336
100,0.94316362472,0.475285547325,0.8261,0.953946295357
101,0.942703330131,0.472780225772,0.8253,0.952771843815
102,0.945024815882,0.467553888715,0.8245,0.954612120724
103,0.944764649376,0.473319605169,0.8262,0.954242126942
104,0.943563880884,0.475372852737,0.8261,0.956364408779
105,0.943343739994,0.473231380676,0.826,0.95524760046
106,0.942002881844,0.477080572503,0.825,0.955365061951
107,0.943844060199,0.474257664748,0.8255,0.954722148895
108,0.944464457253,0.471737580577,0.8261,0.95323440752
109,0.945365033622,0.468971133003,0.8262,0.956653956699
110,0.944084213897,0.472131172558,0.8259,0.955335460472
111,0.944724623759,0.4708198884,0.8264,0.955758746719
112,0.944644572526,0.47010107651,0.8265,0.955945404243
113,0.945264969581,0.466785905169,0.8245,0.956592932129
114,0.943503842459,0.474976470674,0.8262,0.954973175621
115,0.945244956772,0.468872339755,0.8258,0.954764173126
116,0.944444444444,0.471087821088,0.8254,0.955323356438
117,0.944184277938,0.468822422373,0.8251,0.956509369469
118,0.945665225744,0.46675305444,0.8257,0.956594016075
119,0.945004803074,0.468268792693,0.8259,0.957075909519
120,0.945905379443,0.466715866085,0.8259,0.957223760509
121,0.943403778418,0.471756258245,0.8249,0.955906092644
122,0.945565161703,0.466930577322,0.8264,0.959531854153
123,0.945705251361,0.466324679274,0.825,0.958444020271
124,0.94338376561,0.47186106974,0.8254,0.959054086494
125,0.944284341979,0.469682818245,0.8257,0.957877612114
126,0.945785302594,0.467143412883,0.8265,0.957326539135
127,0.945625200128,0.465565844049,0.8267,0.959241657734
128,0.944884726225,0.468712933469,0.8262,0.959945925331
129,0.943643932117,0.470911932276,0.8247,0.957214159584
130,0.944084213897,0.469599206994,0.8262,0.956341404533
131,0.945785302594,0.466888670209,0.8265,0.95958551178
132,0.944684598143,0.468475548791,0.8264,0.958688376808
133,0.944944764649,0.467156610674,0.8262,0.960781542206
134,0.94660582773,0.465851704089,0.8263,0.958916031933
135,0.945004803074,0.468702783464,0.8255,0.958884996986
136,0.943123599103,0.47310260132,0.8255,0.958830710888
137,0.946685878963,0.462578875702,0.825,0.958670592976
138,0.944804674992,0.468685935332,0.8257,0.959745841122
139,0.944204290746,0.468622547138,0.8254,0.959194136333
140,0.94394412424,0.469651281309,0.8258,0.959165932751
141,0.945425072046,0.468473606935,0.8253,0.960686389637
142,0.945545148895,0.467147486221,0.8257,0.958659090805
143,0.946345661223,0.463975209773,0.8255,0.961545827198
144,0.946165545949,0.463641621232,0.8255,0.960777099705
145,0.946365674031,0.465926624684,0.8258,0.962691124344
146,0.944904739033,0.468215600596,0.8246,0.961362211037
147,0.946365674031,0.466323673811,0.8253,0.961045999241
148,0.947066122318,0.465813935051,0.8264,0.960286548042
149,0.944344380403,0.471400862182,0.8259,0.962259917927
